fund_code,pick_effect,note
000212,-0.00429459,泰信鑫益定开-L3纯债
000134,-0.00642541,中信保诚嘉鸿-L3纯债
000128,-0.00813809,大成景安短融-L3纯债
017793,0.00594853,国联安聚利39个月封闭-主榜#1(唯一正择券)
020259,-0.0045217,嘉实稳恒90天持有-主榜
008566,-0.00568592,蜂巢添盈纯债-主榜
019541,-0.00840356,东方红90天持有纯债-主榜
016674,-0.00909493,永赢安泰中短债-主榜
016947,-0.01410987,国泰利安中短债-主榜
018977,-0.0145763,中信建投惠享-主榜
519945,-0.00832209,长信富安纯债180天-主榜
016748,-0.00215578,申万菱信稳鑫60天中短债-主榜
017438,-0.01090599,博时安悦短债-主榜
016483,-0.00365849,国泰利盈60天中短债-主榜
018192,-0.00312691,建信鑫弘180天持有-主榜
011985,-0.00267353,申万菱信合利纯债-主榜
009093,-0.00890073,华泰柏瑞鸿利中短债-主榜
019487,-0.00402967,广发添盈-主榜
