fund_code,fund_name,index_code,family,tracking_error,info_ratio_track
006481,海富通上清所短融债券A,H11014.CSI,中证短融,0.003527141732237848,-2.2938466077540824
007064,浦银安盛上清所优选短融A,H11014.CSI,中证短融,0.002219498446370044,-1.8403390351874076
007065,浦银安盛上清所优选短融C,H11014.CSI,中证短融,0.0026087925750570076,-2.0992111854574653
007073,海富通上清所短融债券C,H11014.CSI,中证短融,0.0027897602201686525,-2.9970978714105563
014426,惠升中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.0018161233790703949,-0.8667647071146267
014427,富国中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.0017525864964954075,-0.9236620155471053
014428,中航中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.00138552675024006,-3.5108878206459764
014429,华富中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.001400751037161438,-2.6879556775185307
014430,南方中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.001793957390126076,-1.1687226034543057
014437,鹏华中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.0018761999548598792,-0.35625056057664994
015643,招商中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.0015674406201521228,-2.144105168925108
015644,华夏中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.0018818971370038375,-1.6896023442189378
015645,平安中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.0016833799028302865,-2.092909559524021
015646,中金中证同业存单AAA指数7天持有发起,931059.CSI,同业存单AAA,0.0015887037551047085,-1.4247001288019736
015647,淳厚中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.0014654633672717904,-3.8049690526285116
015648,兴银中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.0015306225921532645,-1.038407761889159
015822,易方达中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.001567734221338339,-0.8051945930400113
015823,银华中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.0018260166944153349,-0.45631735176718996
015825,国泰中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.0013848919450461775,-1.8666720171772786
015826,广发中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.0016986561960297805,-0.7743737884704514
015827,中欧中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.0016810224344460433,-1.6421056495244537
015861,嘉实中证同业存单AAA指数7天持有期,931059.CSI,同业存单AAA,0.001498043062051078,-1.4500738909746522
015862,景顺长城中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.0016763958302360704,-0.32484447499987085
015863,华泰柏瑞中证同业存单AAA指数7天持有期,931059.CSI,同业存单AAA,0.0014441164589535746,-0.20028175346911498
015864,华宝中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.0016066401105762885,-1.7938039510542392
015875,汇添富中证同业存单AAA指数7天持有期,931059.CSI,同业存单AAA,0.0014985352947698583,-1.9615272406909827
015944,中银中证同业存单AAA指数7天持有期,931059.CSI,同业存单AAA,0.001431643583917746,-1.7349459178061388
015955,万家中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.001730611291962373,-0.6322597210825756
015956,国联安中证同业存单AAA指数7天持有期,931059.CSI,同业存单AAA,0.0015319896917512733,-3.2548740283538646
015960,创金合信中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.002454710717177562,-1.521609801287762
016063,华安中证同业存单AAA指数7天持有发起式,931059.CSI,同业存单AAA,0.0015451929089102896,-1.4562164019491661
016066,英大中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.0025477622522737157,-3.9896864094195106
016082,工银中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.0017809534582718047,-1.5955635790810536
016083,中加中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.001528075427895748,-3.096345992742608
016362,建信中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.0014177090590470544,-1.4509823629846834
016366,东方红中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.0013232055900580968,-2.961387004585249
016409,永赢中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.0014563058510287305,-0.9565599437763601
016410,鹏扬中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.0016475869006709342,-1.7688315740760763
016587,浦银安盛中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.0015496319410011473,-2.3671420612384657
016625,长城中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.0013394900446749547,-2.344518624531373
016684,国联中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.001688944041563569,-1.540143697346924
016758,东吴中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.001460151822359456,-4.310603748427947
016852,大成中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.0014031015940958326,-4.447808435009965
016859,中加中债-新综合债券指数发起,H11009.CSI,中证综合债,0.009708599508368087,-1.4241251886044732
016860,民生加银中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.0014237277458619903,-3.054188146706739
017104,光大中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.0016039468989423973,-4.767673278191506
017111,申万菱信中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.0013176342971464034,-4.7777151234080675
017136,长盛中证同业存单AAA指数7天持有期,931059.CSI,同业存单AAA,0.0013302852587625807,-4.302433933061491
017183,中信建投中证同业存单AAA指数7天持有期,931059.CSI,同业存单AAA,0.0018874606637695,-7.161382016063116
017423,天弘中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.0016353543459976727,-1.3338627739116062
017554,尚正中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.005309874619473667,-0.5930182141873508
017563,太平中证同业存单AAA指数7天持有,931059.CSI,同业存单AAA,0.0014676871927639006,-4.642462593472209
