fund_code,fund_name,track,index_code,index_name,index_family,index_mainstream,map_rule
000008,嘉实中证500ETF联接A,INDEX,sh000905,中证500,中证500,1.0,name:中证500
000051,华夏沪深300ETF联接A,INDEX,sh000300,沪深300,沪深300,1.0,name:沪深300
000059,国联安中证医药100A,INDEX,,,映射缺失,,
000164,富国上证指数ETF联接A(后端),INDEX,,,映射缺失,,
000248,汇添富中证主要消费ETF联接A,INDEX,,,映射缺失,,
000368,汇添富沪深300安中指数A,INDEX,,,映射缺失,,
000373,华安中证细分医药ETF联接A,INDEX,,,映射缺失,,
000596,前海开源中证军工指数A,INDEX,,,映射缺失,,
000613,国寿安保沪深300ETF联接A,INDEX,sh000300,沪深300,沪深300,1.0,name:沪深300
000656,前海开源沪深300指数A,INDEX,sh000300,沪深300,沪深300,1.0,name:沪深300
000826,广发百发100指数A,INDEX,,,映射缺失,,
000835,华润元大富时中国A50指数A,INDEX,,,映射缺失,,
000942,广发信息技术联接A,INDEX,,,映射缺失,,
000948,华夏沪港通恒生ETF联接A,INDEX,,,映射缺失,,
000950,易方达证券保险ETF联接A,INDEX,,,映射缺失,,
000961,天弘沪深300ETF联接A,INDEX,sh000300,沪深300,沪深300,1.0,name:沪深300
000962,天弘中证500ETF联接A,INDEX,sh000905,中证500,中证500,1.0,name:中证500
000968,广发养老指数A,INDEX,,,映射缺失,,
000975,MSCI中国A股国际通联接A,INDEX,,,映射缺失,,
001051,华夏上证50ETF联接A,INDEX,sh000016,上证50,上证50,1.0,name:上证50
001052,华夏中证500ETF联接A,INDEX,sh000905,中证500,中证500,1.0,name:中证500
001064,广发中证环保ETF联接A,INDEX,,,映射缺失,,
001113,南方大数据100A,INDEX,,,映射缺失,,
001133,广发中证全指可选消费联接A,INDEX,,,映射缺失,,
001180,广发医药卫生联接A,INDEX,,,映射缺失,,
001214,华泰柏瑞中证500ETF联接A,INDEX,sh000905,中证500,中证500,1.0,name:中证500
001237,博时上证50ETF联接A,INDEX,sh000016,上证50,上证50,1.0,name:上证50
001241,国寿安保中证500ETF联接,INDEX,sh000905,中证500,中证500,1.0,name:中证500
001242,博时中证淘金大数据100A,INDEX,,,映射缺失,,
001344,易方达医药ETF联接A,INDEX,,,映射缺失,,
001361,景顺长城中证科技传媒通信150ETF联接A,INDEX,,,映射缺失,,
001420,南方大数据300A,INDEX,,,映射缺失,,
001455,景顺长城中证500ETF联接,INDEX,sh000905,中证500,中证500,1.0,name:中证500
001469,广发中证全指金融地产联接A,INDEX,,,映射缺失,,
001539,嘉实中证金融地产ETF联接A,INDEX,,,映射缺失,,
001548,天弘上证50ETF联接A,INDEX,sh000016,上证50,上证50,1.0,name:上证50
001550,天弘中证医药100A,INDEX,,,映射缺失,,
001552,天弘中证证券保险A,INDEX,,,映射缺失,,
001588,天弘中证800指数A,INDEX,sh000906,中证800,中证800,0.9,name:中证800
001592,天弘创业板ETF联接A,INDEX,sz399006,创业板指,创业板指,1.0,name:创业板
001594,天弘中证银行ETF联接A,INDEX,,,映射缺失,,
001617,天弘中证电子ETF联接A,INDEX,,,映射缺失,,
001629,天弘中证计算机ETF联接A,INDEX,,,映射缺失,,
001631,天弘中证食品饮料ETF联接A,INDEX,,,映射缺失,,
001899,东海社会安全,INDEX,,,映射缺失,,
002236,大成360互联网+大数据100A,INDEX,,,映射缺失,,
002656,南方创业板ETF联接A,INDEX,sz399006,创业板指,创业板指,1.0,name:创业板
002900,南方中证500信息技术联接A,INDEX,sh000905,中证500,中证500,1.0,name:中证500
003017,广发中证军工ETF联接A,INDEX,,,映射缺失,,
003194,汇添富中证上海国企ETF联接A,INDEX,,,映射缺失,,
003318,景顺长城中证500行业中性低波动指数A,INDEX,,,映射缺失,,
003765,广发创业板ETF发起式联接A,INDEX,sz399006,创业板指,创业板指,1.0,name:创业板
004069,南方中证全指证券公司ETF联接A,INDEX,,,映射缺失,,
004432,南方有色金属ETF联接A,INDEX,,,映射缺失,,
004488,嘉实富时中国A50ETF联接A,INDEX,,,映射缺失,,
004532,民生加银港股通高股息A,INDEX,,,映射缺失,,
004597,南方中证银行ETF发起联接A,INDEX,,,映射缺失,,
004642,南方中证房地产ETF发起联接A,INDEX,,,映射缺失,,
004752,广发中证传媒ETF联接A,INDEX,,,映射缺失,,
004854,广发中证全指汽车指数A,INDEX,,,映射缺失,,
004856,广发中证全指建筑材料指数A,INDEX,,,映射缺失,,
004874,融通巨潮100指数C,INDEX,,,映射缺失,,
004996,广发恒生中型股指数C,INDEX,,,映射缺失,,
005051,摩根标普港股通低波红利指数A,INDEX,,,映射缺失,,
005063,广发中证全指家用电器ETF联接A,INDEX,,,映射缺失,,
005102,工银沪深300ETF联接A,INDEX,sh000300,沪深300,沪深300,1.0,name:沪深300
005112,银华中证全指医药卫生,INDEX,,,映射缺失,,
005125,华宝标普中国A股红利机会ETF联接C,INDEX,,,映射缺失,,
005223,广发中证基建工程ETF联接A,INDEX,,,映射缺失,,
005390,工银创业板ETF联接A,INDEX,sz399006,创业板指,创业板指,1.0,name:创业板
005554,南方恒生国企ETF联接A,INDEX,,,映射缺失,,
005561,创金合信中证红利低波动指数A,INDEX,,,映射缺失,,
005639,平安300ETF联接A,INDEX,,,映射缺失,,
005659,南方恒生指数ETF联接C,INDEX,,,映射缺失,,
005761,招商MSCI中国A股国际ETF联接A,INDEX,,,映射缺失,,
005788,南方MSCI中国A股联接A,INDEX,,,映射缺失,,
005813,华安CES港股通ETF联接A,INDEX,,,映射缺失,,
005829,建信MSCI联接A,INDEX,,,映射缺失,,
005868,平安MSCI中国A股ETF联接A,INDEX,,,映射缺失,,
005873,建信创业板ETF发起联接A,INDEX,sz399006,创业板指,创业板指,1.0,name:创业板
005880,建信上证50ETF发起联接A,INDEX,sh000016,上证50,上证50,1.0,name:上证50
006098,华宝券商ETF联接A,INDEX,,,映射缺失,,
006196,华夏中证央企ETF联接A,INDEX,,,映射缺失,,
006214,平安500ETF联接A,INDEX,,,映射缺失,,
006220,工银上证50ETF联接A,INDEX,sh000016,上证50,上证50,1.0,name:上证50
006248,华夏创业板ETF联接A,INDEX,sz399006,创业板指,创业板指,1.0,name:创业板
