fund_code,fund_name,scale_yi,setup_date,return_1y,seed_category
004722,中银丰和定期开放,463.95,2017-06-23,0.0139,纯债
007194,长城短债债券A,441.9,2019-08-29,0.025,纯债
511220,城投债ETF,401.4,2014-11-13,0.0228,纯债
005309,中银证券汇嘉定期开放,370.4,2018-03-26,0.0151,纯债
511030,公司债ETF,366.79,2018-12-27,0.019,纯债
003929,中银证券安进A,322.93,2016-12-05,0.0164,纯债
003949,兴全稳泰债券A,260.96,2016-12-16,0.0301,纯债
003313,中银睿享定期开放,252.55,2016-09-22,0.0154,纯债
006609,申万菱信安泰瑞利中短债A,246.02,2019-09-04,0.0227,纯债
018444,东财瑞利债券A,242.99,2023-08-09,0.0176,纯债
004388,鹏华丰享债券,242.76,2017-03-09,0.0186,纯债
000037,广发景宁债券A,226.94,2013-06-20,0.0237,纯债
270048,广发纯债债券A,221.66,2012-12-12,0.0218,纯债
009196,华银鼎盛中短债A,213.48,2020-04-29,0.013,纯债
006758,农银汇理金禄债券,209.96,2018-12-21,0.0192,纯债
002898,富国两年期理财债券A,206.0,2016-12-01,0.0174,纯债
008204,交银稳利中短债债券A,201.05,2019-12-13,0.0197,纯债
002603,工银瑞丰半年定开纯债,199.38,2016-04-22,0.0168,纯债
010232,国寿安保泰安纯债债券,194.2,2020-12-16,0.0164,纯债
400030,东方添益债券,193.65,2014-12-15,0.0258,纯债
003213,中银悦享定期开放,181.33,2016-09-28,0.0142,纯债
016189,国联恒通纯债A,173.76,2022-08-08,0.0122,纯债
006985,兴全恒裕债券A,169.68,2019-03-12,0.0265,纯债
000385,景顺长城景颐双利债券A,614.77,2013-11-13,0.0822,二级债
002065,景顺长城景盛双息收益债券A,480.81,2016-01-26,0.0863,二级债
002351,易方达裕祥回报债券A,446.74,2016-01-22,0.0482,二级债
014088,永赢稳健增强债券A,412.38,2021-12-28,0.1465,二级债
110007,易方达稳健收益债券A,370.92,2005-09-19,0.0159,二级债
000143,鹏华双债加利债券A,356.92,2013-05-27,0.2089,二级债
015716,华夏稳享增利6个月滚动持有债券A,352.16,2022-09-06,0.0269,二级债
014775,招商安本增利债券A,345.55,2022-01-05,0.1297,二级债
003504,景顺长城景颐丰利债券A,321.12,2017-01-18,0.3186,二级债
110017,易方达增强债券A,489.54,2008-03-19,0.0372,一级债
001235,中银国有企业债A,213.66,2015-09-29,0.0493,一级债
675111,西部利得汇享债券A,183.96,2017-03-10,0.0418,一级债
005455,建信睿丰纯债定开,172.5,2018-03-14,0.0183,一级债
003528,汇添富长添利A,160.43,2016-12-06,0.0358,一级债
217022,招商产业债券A,146.85,2012-03-21,0.0144,一级债
161115,易方达岁丰添利债券LOFA,145.64,2010-11-09,0.0194,一级债
590009,中邮稳定收益债券A,139.54,2012-11-21,0.0373,一级债
511380,可转债ETF,595.57,2020-03-06,0.1452,可转债
001751,华商信用增强债券A,237.41,2015-09-08,0.222,可转债
006839,安信聚利增强债券A,232.49,2019-04-15,0.1041,可转债
001257,兴业收益增强债券A,206.71,2015-05-29,0.1005,可转债
002474,中邮睿信增强债A,203.69,2016-08-25,0.1283,可转债
005121,富国兴利增强债券A,176.94,2017-09-20,0.1879,可转债
012951,汇添富鑫享添利六个月持有混合A,175.39,2021-07-21,0.0298,偏债混合
011803,景顺长城宁景6个月持有混合A,69.63,2021-12-01,0.1917,偏债混合
010056,平安瑞兴1年持有混合A,53.83,2020-11-04,0.0368,偏债混合
010605,创金合信鑫祥混合A,53.67,2021-02-04,0.0349,偏债混合
014767,景顺长城华城稳健6个月持有期混合A,51.62,2022-01-26,0.0852,偏债混合
014362,睿远稳进配置两年持有A,41.48,2021-12-06,0.1154,偏债混合
019752,海富通悦享一年持有期混合A,37.59,2023-12-12,0.0338,偏债混合
009100,安信稳健增利混合A,36.56,2020-04-01,0.0715,偏债混合
160323,华夏磐泰混合LOFA,34.89,2016-12-26,0.0627,偏债混合
010923,永赢鑫欣混合A,34.5,2021-01-14,0.0614,偏债混合
511360,短融ETF,90.91,2020-08-03,0.0148,信用债
511520,政金债券ETF,32.75,2022-08-19,0.0158,利率债
016869,景顺长城稳健增益债券A,31.39,2022-11-09,0.0314,利率债
217023,招商信用增强债券A,29.96,2012-07-20,0.0553,信用债
014846,博时恒乐债券A,24.52,2022-04-28,0.0836,信用债
002796,景顺长城景盈双利债券A,20.91,2016-07-19,0.0942,信用债
009738,格林泓安63个月定开,15.71,2020-11-02,0.0277,高杠杆
012465,上银慧嘉利,13.57,2021-06-25,0.0185,高杠杆
007562,景顺长城景泰纯利债券A,13.46,2019-10-21,0.0299,高杠杆
003285,国寿安保安康纯债债券,13.1,2016-09-02,0.0177,高杠杆
008014,天弘鑫利三年定开债,12.14,2019-11-29,0.024,高杠杆
010477,景顺长城景泰益利纯债债券A,11.89,2021-01-18,0.014,高杠杆
007988,融通通恒63个月定开A,11.04,2020-08-07,0.0224,高杠杆
