fund_code,fund_name,n_managers,max_tenure_years,min_tenure_years,recent_manager_added,manager_names,tenure_list,qieman_net_asset
519770,交银优择回报灵活配置混合A,1,1.5,1.5,False,周珊珊,1.5,30.18亿
000979,景顺长城沪港深精选股票A,1,1.2,1.2,False,张仲维,1.2,66.89亿
018876,兴合先进制造混合A,1,2.8,2.8,False,梁辰星,2.8,1.32亿
018194,建信新材料精选股票A,1,0.5,0.5,False,田元泉,0.5,2.91亿
160220,国泰民益混合(LOF)A,1,1.3,1.3,False,陈臻迪,1.3,1.12亿
017737,融通慧心混合A,1,1.3,1.3,False,任涛,1.3,7984.31万
001194,景顺长城稳健回报混合A,1,1.8,1.8,False,江山,1.8,53.23亿
519766,交银荣鑫灵活配置混合A,1,0.3,0.3,True,刘庆祥,0.3,4.09亿
014727,易方达成长动力混合A,1,4.3,4.3,False,刘健维,4.3,34.61亿
004685,金元顺安元启灵活配置混合,1,8.6,8.6,False,缪玮彬,8.6,15.76亿
014341,摩根时代睿选股票A,1,3,3,False,陈思郁,3,1.02亿
015970,华泰柏瑞景气驱动混合A,1,2.8,2.8,False,陈乐,2.8,5.41亿
014031,南方发展机遇一年持有混合A,1,2.5,2.5,False,范佳瓅,2.5,1.96亿
018956,中航机遇领航混合A,2,2.8,0.1,True,韩浩|王森,2.8|0.1,121.67亿
018000,鹏华芯片产业混合A,1,3.1,3.1,False,王璐,3.1,9889.12万
016558,安信洞见成长混合A,1,3.5,3.5,False,陈鹏,3.5,5.16亿
005775,中加转型动力混合A,2,0.3,0.1,True,黄翱|薛杨,0.1|0.3,4.20亿
012993,汇添富品牌力一年持有混合A,1,4.3,4.3,False,蔡志文,4.3,3.05亿
018148,百嘉百瑞混合A,1,2.8,2.8,False,黄艺明,2.8,2038.92万
008186,淳厚信睿混合A,2,6.1,0.1,True,陈文|杨煜城,6.1|0.1,30.57亿
501015,财通多策略升级混合(LOF)A,1,5.2,5.2,False,沈犁,5.2,1.85亿
001664,平安鑫安混合A,1,1.9,1.9,False,林清源,1.9,20.15亿
011093,永赢宏泽一年定开混合,1,2.2,2.2,False,高楠,2.2,10.77亿
005851,财通新视野灵活配置混合A,1,5.4,5.4,False,沈犁,5.4,14.84亿
005746,国泰聚利价值定开混合,1,4.9,4.9,False,程瑶,4.9,1.88亿
017835,信澳匠心回报混合A,1,2.3,2.3,False,张明烨,2.3,17.21亿
000411,景顺长城优质成长A,1,2.6,2.6,False,张仲维,2.6,21.91亿
009931,淳厚欣享一年持有期混合A,2,5.7,2.4,False,陈文|杨煜城,5.7|2.4,5.76亿
004206,华商元亨混合A,1,7.1,7.1,False,胡中原,7.1,36.79亿
005186,长安鑫兴混合A,1,0.1,0.1,True,江博文,0.1,1.28亿
018442,汇添富成长领航混合A,1,2.8,2.8,False,左剑,2.8,4.39亿
017801,汇添富战略精选中小盘市值3年持有期混合A,1,3.2,3.2,False,蔡志文,3.2,1.75亿
003598,华商润丰灵活配置混合A,1,7.2,7.2,False,胡中原,7.2,99.45亿
010761,华商甄选回报混合A,3,2.5,1.3,False,崔志鹏|余懿|孙蔚,2.4|1.3|2.5,45.41亿
017828,富国时代精选混合A,1,3.2,3.2,False,许炎,3.2,5.83亿
001412,德邦鑫星价值灵活配置混合A,1,2.4,2.4,False,陆阳,2.4,87.14亿
001184,易方达新常态灵活配置混合,1,1.8,1.8,False,何一铖,1.8,28.84亿
017960,招商趋势领航混合A,1,3.2,3.2,False,梁辰,3.2,3.14亿
014317,广发价值领航一年持有混合A,1,4,4,False,杨冬,4,10.93亿
015043,西部利得时代动力混合发起A,1,4,4,False,张昌平,4,5.68亿
162201,宏利成长混合,1,1.2,1.2,False,孙硕,1.2,20.57亿
017964,招商匠心优选混合A,1,0.1,0.1,True,王奇超,0.1,3.22亿
014277,万家北交所慧选两年定开混合A,1,4.6,4.6,False,叶勇,4.6,1.80亿
009707,工银新兴制造混合A,1,1.9,1.9,False,马丽娜,1.9,69.59亿
002776,招商安荣灵活配置混合A,1,0.9,0.9,False,程泉璋,0.9,6622.99万
013721,信澳景气优选混合A,1,4.5,4.5,False,吴清宇,4.5,6.20亿
002849,金信智能中国2025混合A,1,1.2,1.2,False,杨超,1.2,5.10亿
018868,兴全品质甄选混合A,1,1.6,1.6,False,程剑,1.6,3.19亿
014279,汇添富北交所创新精选两年定开混合A,1,1.5,1.5,False,马磊,1.5,3.19亿
018401,嘉实成长驱动混合A,1,2.7,2.7,False,孟夏,2.7,1.91亿
013107,华夏先进制造龙头混合A,1,4.6,4.6,False,高翔,4.6,3.31亿
001856,易方达环保主题灵活配置混合A,1,8.5,8.5,False,祁禾,8.5,55.59亿
740001,长安宏观策略混合A,1,2.4,2.4,False,王浩聿,2.4,2.52亿
110029,易方达科讯混合,1,6.9,6.9,False,刘健维,6.9,77.39亿
018281,山证资管创新成长混合A,1,2.8,2.8,False,杨旭,2.8,1776.20万
015143,中欧智能制造混合A,1,4.2,4.2,False,邵洁,4.2,7.28亿
